36,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Elise Mertens
Linda Fruhvirtova",1/5,7/2,2022-03-25 16:02:19.509756
37,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Jessica Pegula
Sloane Stephens",1/2,13/8,2022-03-25 16:02:19.526159
38,WTA Miami - Round 2 Matches,Fri 25 Mar,16:30,"Storm Sanders
Lauren Davis",6/4,8/15,2022-03-25 16:02:19.543676
39,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Beatriz Haddad Maia
Maria Sakkari",7/2,1/5,2022-03-25 16:02:19.560348
40,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Clara Burel
Petra Kvitova",10/3,2/9,2022-03-25 16:02:19.577060
41,WTA Miami - Round 2 Matches,Fri 25 Mar,18:00,"Ludmilla Samsonova
Madison Brengle",4/6,6/5,2022-03-25 16:02:19.594723
42,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Madison Keys
Anhelina Kalinina",2/7,11/4,2022-03-25 16:02:19.611706
43,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Paula Badosa
Marie Bouzkova",1/3,12/5,2022-03-25 16:02:19.628357
44,WTA Miami - Round 2 Matches,Fri 25 Mar,19:30,"Yulia Putintseva
Marketa Vondrousova",7/4,4/9,2022-03-25 16:02:19.646375
45,WTA Miami - Round 2 Matches,Fri 25 Mar,21:00,"Ekaterina Alexandrova
Victoria Azarenka",5/2,3/10,2022-03-25 16:02:19.663933
46,WTA Miami - Round 2 Matches,Fri 25 Mar,23:00,"Viktorija Golubic
Iga Swiatek",7/1,1/12,2022-03-25 16:02:19.680231
47,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Ann Li
Alison Riske",1/1,4/5,2022-03-25 16:02:20.610583
48,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Belinda Bencic
Heather Watson",3/10,5/2,2022-03-25 16:02:20.627009
49,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Danielle Collins
Vera Zvonareva",1/4,3/1,2022-03-25 16:02:20.644874
50,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Irina-Camelia Begu
Aliaksandra Sasnovich",11/10,8/11,2022-03-25 16:02:20.661449
51,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Kaia Kanepi
Ons Jabeur",7/4,4/9,2022-03-25 16:02:20.685158
52,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Karolina Muchova
Naomi Osaka",5/2,3/10,2022-03-25 16:02:20.714288
53,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Katerina Siniakova
Daria Saville",4/5,1/1,2022-03-25 16:02:20.731437
54,WTA Miami - Round 3 Matches,Sat 26 Mar,15:00,"Lucia Bronzetti
Anna Kalinskaya",7/4,4/9,2022-03-25 16:02:20.750115
55,Challenger Biel - Quarter Final Matches,Fri 25 Mar,17:00,"Leandro Riedi
Jurij Rodionov",1/1,8/11,2022-03-25 16:02:20.984225
